fold,selected_model,inner_best_macro_f1,outer_accuracy,outer_macro_f1,outer_balanced_accuracy,outer_roc_auc,outer_pr_auc
1,RF,0.9476059065613681,0.8383458646616542,0.7751744471744472,0.7440476190476191,0.8074960753532182,0.790466055006634
2,GB,0.8652617522959075,0.9126984126984127,0.8999350227420402,0.8928571428571428,0.947562358276644,0.9408483903435546
3,MLP,0.8369645451131399,0.8690476190476191,0.8547753348584601,0.9093406593406593,0.9984301412872841,0.996531614938802
