,precision,recall,f1-score,support
Normal,0.9032258064516129,1.0,0.9491525423728814,140.0
Papilledema,1.0,0.7321428571428571,0.845360824742268,56.0
accuracy,0.923469387755102,0.923469387755102,0.923469387755102,0.923469387755102
macro avg,0.9516129032258065,0.8660714285714286,0.8972566835575747,196.0
weighted avg,0.9308755760368663,0.923469387755102,0.919497765906992,196.0
