model,best_threshold,validation_macro_f1,test_accuracy,test_precision,test_recall,test_f1,test_macro_f1,test_balanced_accuracy,test_brier_score,test_roc_auc,test_pr_auc
SVM,0.5199999999999999,0.86005997429673,0.9285714285714286,1.0,0.75,0.8571428571428571,0.9047619047619047,0.875,0.06430970166839253,0.932780612244898,0.9067259791450342
KNN,0.69,0.8660768871147553,0.9285714285714286,1.0,0.75,0.8571428571428571,0.9047619047619047,0.875,0.06237741292042,0.9295918367346939,0.9050360099689538
LR,0.5399999999999999,0.8519797173373611,0.923469387755102,1.0,0.7321428571428571,0.845360824742268,0.8972566835575747,0.8660714285714286,0.06354151181475627,0.9459183673469387,0.9167001601906434
MLP,0.83,0.8579710144927537,0.9183673469387755,1.0,0.7142857142857143,0.8333333333333334,0.8896396396396397,0.8571428571428572,0.06596924498830443,0.9561224489795919,0.9313072776674441
GB,0.7,0.8519797173373611,0.9132653061224489,0.975609756097561,0.7142857142857143,0.8247422680412371,0.8835575746985846,0.8535714285714286,0.06622494931773769,0.9572704081632654,0.9271929183385765
ET,0.72,0.8660768871147553,0.9132653061224489,1.0,0.6964285714285714,0.8210526315789474,0.8819067871699451,0.8482142857142857,0.0578313711784614,0.9700255102040816,0.9463627112556057
WeightedEnsemble,0.72,0.8579710144927537,0.9132653061224489,1.0,0.6964285714285714,0.8210526315789474,0.8819067871699451,0.8482142857142857,0.05839006578996618,0.9748724489795918,0.9502015229437096
Ensemble,0.7499999999999999,0.8579710144927537,0.8979591836734694,1.0,0.6428571428571429,0.782608695652174,0.8579710144927537,0.8214285714285714,0.061737734895917266,0.980484693877551,0.9569329730121647
RF,0.7999999999999999,0.8579710144927537,0.8928571428571429,1.0,0.625,0.7692307692307693,0.8497316636851521,0.8125,0.07368592323143873,0.9808673469387755,0.9582825551600114
