,precision,recall,f1-score,support
Normal,0.9315068493150684,0.9714285714285714,0.951048951048951,140.0
Papilledema,0.92,0.8214285714285714,0.8679245283018868,56.0
accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
macro avg,0.9257534246575343,0.8964285714285714,0.9094867396754189,196.0
weighted avg,0.9282191780821918,0.9285714285714286,0.9272991159783613,196.0
