,precision,recall,f1-score,support
Normal,0.9072847682119205,0.9785714285714285,0.9415807560137457,140.0
Papilledema,0.9333333333333333,0.75,0.8316831683168316,56.0
accuracy,0.9132653061224489,0.9132653061224489,0.9132653061224489,0.9132653061224489
macro avg,0.9203090507726269,0.8642857142857143,0.8866319621652887,196.0
weighted avg,0.9147272153894671,0.9132653061224489,0.9101814452431987,196.0
