,precision,recall,f1-score,support
Normal,0.8974358974358975,1.0,0.9459459459459459,140.0
Papilledema,1.0,0.7142857142857143,0.8333333333333334,56.0
accuracy,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.9183673469387755
macro avg,0.9487179487179487,0.8571428571428572,0.8896396396396397,196.0
weighted avg,0.9267399267399267,0.9183673469387755,0.9137709137709137,196.0
