,precision,recall,f1-score,support
Normal,0.875,1.0,0.9333333333333333,140.0
Papilledema,1.0,0.6428571428571429,0.782608695652174,56.0
accuracy,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8979591836734694
macro avg,0.9375,0.8214285714285714,0.8579710144927537,196.0
weighted avg,0.9107142857142857,0.8979591836734694,0.8902691511387164,196.0
