,precision,recall,f1-score,support
Normal,0.9205298013245033,0.9928571428571429,0.9553264604810997,140.0
Papilledema,0.9777777777777777,0.7857142857142857,0.8712871287128713,56.0
accuracy,0.9336734693877551,0.9336734693877551,0.9336734693877551,0.9336734693877551
macro avg,0.9491537895511406,0.8892857142857142,0.9133067945969855,196.0
weighted avg,0.936886366025439,0.9336734693877551,0.9313152228330344,196.0
