,precision,recall,f1-score,support
Normal,0.9090909090909091,1.0,0.9523809523809523,140.0
Papilledema,1.0,0.75,0.8571428571428571,56.0
accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
macro avg,0.9545454545454546,0.875,0.9047619047619047,196.0
weighted avg,0.9350649350649349,0.9285714285714286,0.9251700680272108,196.0
